time_iso8601,stars_cumulative
2022-09-05 00:00:00+00:00,2
2022-09-09 00:00:00+00:00,3
2022-09-12 00:00:00+00:00,4
2022-09-20 00:00:00+00:00,5
2022-10-19 00:00:00+00:00,6
2022-10-21 00:00:00+00:00,8
2022-10-25 00:00:00+00:00,11
2022-10-30 00:00:00+00:00,12
2022-11-04 00:00:00+00:00,13
2022-11-17 00:00:00+00:00,14
2022-11-21 00:00:00+00:00,15
2022-11-22 00:00:00+00:00,16
2022-11-23 00:00:00+00:00,20
2022-11-24 00:00:00+00:00,23
2022-11-28 00:00:00+00:00,24
2022-12-05 00:00:00+00:00,26
2022-12-08 00:00:00+00:00,27
2022-12-14 00:00:00+00:00,29
2022-12-16 00:00:00+00:00,30
2022-12-18 00:00:00+00:00,31
2022-12-22 00:00:00+00:00,32
2023-01-10 00:00:00+00:00,33
2023-01-13 00:00:00+00:00,34
2023-01-16 00:00:00+00:00,35
2023-01-22 00:00:00+00:00,36
2023-01-26 00:00:00+00:00,37
2023-01-27 00:00:00+00:00,39
2023-01-28 00:00:00+00:00,40
2023-01-31 00:00:00+00:00,41
2023-02-07 00:00:00+00:00,43
2023-02-14 00:00:00+00:00,44
2023-02-17 00:00:00+00:00,45
2023-02-23 00:00:00+00:00,47
2023-02-24 00:00:00+00:00,48
2023-02-25 00:00:00+00:00,49
2023-03-01 00:00:00+00:00,52
2023-03-10 00:00:00+00:00,53
2023-03-11 00:00:00+00:00,55
2023-03-15 00:00:00+00:00,56
2023-03-17 00:00:00+00:00,57
2023-03-20 00:00:00+00:00,58
2023-03-23 00:00:00+00:00,59
2023-03-29 00:00:00+00:00,60
2023-04-06 00:00:00+00:00,61
2023-04-10 00:00:00+00:00,62
2023-04-15 00:00:00+00:00,63
2023-04-29 00:00:00+00:00,64
2023-05-05 00:00:00+00:00,65
2023-05-08 00:00:00+00:00,68
2023-05-10 00:00:00+00:00,69
2023-05-13 00:00:00+00:00,70
2023-05-14 00:00:00+00:00,71
2023-05-18 00:00:00+00:00,73
2023-05-19 00:00:00+00:00,75
2023-05-24 00:00:00+00:00,78
2023-05-27 00:00:00+00:00,79
2023-06-01 00:00:00+00:00,80
2023-06-02 00:00:00+00:00,81
2023-06-03 00:00:00+00:00,82
2023-06-10 00:00:00+00:00,83
2023-06-13 00:00:00+00:00,85
2023-06-15 00:00:00+00:00,86
2023-06-16 00:00:00+00:00,87
2023-06-20 00:00:00+00:00,88
2023-06-22 00:00:00+00:00,89
2023-06-27 00:00:00+00:00,90
2023-06-29 00:00:00+00:00,91
2023-06-30 00:00:00+00:00,92
2023-07-04 00:00:00+00:00,93
2023-07-05 00:00:00+00:00,96
2023-07-07 00:00:00+00:00,98
2023-07-08 00:00:00+00:00,99
2023-07-09 00:00:00+00:00,100
2023-07-15 00:00:00+00:00,101
2023-07-17 00:00:00+00:00,103
2023-07-20 00:00:00+00:00,104
2023-07-24 00:00:00+00:00,105
2023-07-27 00:00:00+00:00,106
2023-08-03 00:00:00+00:00,107
2023-08-08 00:00:00+00:00,108
2023-08-10 00:00:00+00:00,109
2023-08-15 00:00:00+00:00,110
2023-09-06 00:00:00+00:00,112
2023-09-10 00:00:00+00:00,113
2023-09-11 00:00:00+00:00,114
2023-09-13 00:00:00+00:00,115
2023-09-19 00:00:00+00:00,116
2023-09-21 00:00:00+00:00,117
2023-09-24 00:00:00+00:00,118
2023-09-26 00:00:00+00:00,119
2023-09-28 00:00:00+00:00,120
2023-10-01 00:00:00+00:00,121
2023-10-06 00:00:00+00:00,122
2023-10-13 00:00:00+00:00,123
2023-10-14 00:00:00+00:00,124
2023-10-23 00:00:00+00:00,125
2023-10-31 00:00:00+00:00,126
2023-11-07 00:00:00+00:00,127
2023-11-09 00:00:00+00:00,128
2023-11-10 00:00:00+00:00,129
2023-11-13 00:00:00+00:00,130
2023-11-22 00:00:00+00:00,131
2023-11-23 00:00:00+00:00,132
2023-11-29 00:00:00+00:00,133
2023-11-30 00:00:00+00:00,136
2023-12-01 00:00:00+00:00,137
2023-12-03 00:00:00+00:00,138
2023-12-21 00:00:00+00:00,139
2023-12-22 00:00:00+00:00,140
2023-12-27 00:00:00+00:00,141
2023-12-28 00:00:00+00:00,142
2023-12-29 00:00:00+00:00,144
2024-01-07 00:00:00+00:00,145
2024-01-11 00:00:00+00:00,146
2024-01-12 00:00:00+00:00,148
2024-01-14 00:00:00+00:00,150
2024-01-17 00:00:00+00:00,151
2024-01-24 00:00:00+00:00,152
2024-01-25 00:00:00+00:00,153
2024-01-26 00:00:00+00:00,154
2024-01-29 00:00:00+00:00,155
2024-01-31 00:00:00+00:00,156
2024-02-01 00:00:00+00:00,157
2024-02-02 00:00:00+00:00,158
2024-02-05 00:00:00+00:00,159
2024-02-08 00:00:00+00:00,161
2024-02-09 00:00:00+00:00,162
2024-02-12 00:00:00+00:00,163
2024-02-14 00:00:00+00:00,164
2024-02-20 00:00:00+00:00,165
2024-02-22 00:00:00+00:00,167
2024-02-23 00:00:00+00:00,168
2024-02-26 00:00:00+00:00,169
2024-02-29 00:00:00+00:00,170
2024-03-01 00:00:00+00:00,171
2024-03-02 00:00:00+00:00,173
2024-03-04 00:00:00+00:00,174
2024-03-05 00:00:00+00:00,175
2024-03-07 00:00:00+00:00,176
2024-03-08 00:00:00+00:00,177
2024-03-09 00:00:00+00:00,178
2024-03-10 00:00:00+00:00,179
2024-03-11 00:00:00+00:00,180
2024-03-13 00:00:00+00:00,181
2024-03-15 00:00:00+00:00,184
2024-03-19 00:00:00+00:00,187
2024-03-20 00:00:00+00:00,190
2024-03-21 00:00:00+00:00,192
2024-03-22 00:00:00+00:00,193
2024-03-23 00:00:00+00:00,195
2024-03-24 00:00:00+00:00,196
2024-03-25 00:00:00+00:00,197
2024-03-26 00:00:00+00:00,200
2024-03-27 00:00:00+00:00,201
2024-03-28 00:00:00+00:00,204
2024-04-01 00:00:00+00:00,206
2024-04-02 00:00:00+00:00,209
2024-04-04 00:00:00+00:00,210
2024-04-07 00:00:00+00:00,211
2024-04-08 00:00:00+00:00,214
2024-04-09 00:00:00+00:00,215
2024-04-10 00:00:00+00:00,216
2024-04-12 00:00:00+00:00,217
2024-04-14 00:00:00+00:00,218
2024-04-15 00:00:00+00:00,219
2024-04-17 00:00:00+00:00,220
2024-04-20 00:00:00+00:00,223
2024-04-21 00:00:00+00:00,224
2024-04-23 00:00:00+00:00,225
2024-04-28 00:00:00+00:00,227
2024-04-30 00:00:00+00:00,228
2024-05-01 00:00:00+00:00,230
2024-05-02 00:00:00+00:00,231
2024-05-04 00:00:00+00:00,233
2024-05-11 00:00:00+00:00,234
2024-05-13 00:00:00+00:00,235
2024-05-16 00:00:00+00:00,236
2024-05-17 00:00:00+00:00,237
2024-05-23 00:00:00+00:00,239
2024-05-24 00:00:00+00:00,240
2024-05-27 00:00:00+00:00,241
2024-05-28 00:00:00+00:00,242
2024-05-29 00:00:00+00:00,243
2024-06-01 00:00:00+00:00,244
2024-06-03 00:00:00+00:00,246
2024-06-06 00:00:00+00:00,247
2024-06-07 00:00:00+00:00,248
2024-06-09 00:00:00+00:00,250
2024-06-10 00:00:00+00:00,251
2024-06-11 00:00:00+00:00,254
2024-06-20 00:00:00+00:00,256
2024-06-25 00:00:00+00:00,258
2024-06-26 00:00:00+00:00,259
2024-07-03 00:00:00+00:00,260
2024-07-04 00:00:00+00:00,261
2024-07-08 00:00:00+00:00,263
2024-07-13 00:00:00+00:00,264
2024-07-17 00:00:00+00:00,265
2024-07-21 00:00:00+00:00,266
2024-07-22 00:00:00+00:00,267
2024-07-23 00:00:00+00:00,268
2024-07-25 00:00:00+00:00,269
2024-07-26 00:00:00+00:00,270
2024-07-29 00:00:00+00:00,273
2024-07-30 00:00:00+00:00,275
2024-07-31 00:00:00+00:00,276
2024-08-03 00:00:00+00:00,277
2024-08-05 00:00:00+00:00,278
2024-08-06 00:00:00+00:00,279
2024-08-08 00:00:00+00:00,280
2024-08-10 00:00:00+00:00,281
2024-08-11 00:00:00+00:00,282
2024-08-17 00:00:00+00:00,284
2024-08-28 00:00:00+00:00,285
2024-08-31 00:00:00+00:00,286
2024-09-02 00:00:00+00:00,287
2024-09-06 00:00:00+00:00,288
2024-09-10 00:00:00+00:00,289
2024-09-12 00:00:00+00:00,290
2024-09-13 00:00:00+00:00,291
2024-09-16 00:00:00+00:00,293
2024-09-17 00:00:00+00:00,294
2024-09-19 00:00:00+00:00,295
2024-09-24 00:00:00+00:00,297
2024-09-29 00:00:00+00:00,298
2024-10-02 00:00:00+00:00,299
2024-10-03 00:00:00+00:00,300
2024-10-06 00:00:00+00:00,302
2024-10-10 00:00:00+00:00,303
2024-10-13 00:00:00+00:00,304
2024-10-21 00:00:00+00:00,305
2024-10-23 00:00:00+00:00,307
2024-10-28 00:00:00+00:00,308
2024-11-03 00:00:00+00:00,309
2024-11-07 00:00:00+00:00,310
2024-11-14 00:00:00+00:00,311
2024-11-15 00:00:00+00:00,313
2024-11-19 00:00:00+00:00,314
2024-11-20 00:00:00+00:00,315
2024-11-21 00:00:00+00:00,316
2024-11-25 00:00:00+00:00,317
