time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-27 00:00:00+00:00,1588,145,978,37
2023-11-28 00:00:00+00:00,1106,157,523,34
2023-11-29 00:00:00+00:00,1749,177,1042,47
2023-11-30 00:00:00+00:00,1498,157,491,37
2023-12-01 00:00:00+00:00,999,122,402,26
2023-12-02 00:00:00+00:00,132,45,361,17
2023-12-03 00:00:00+00:00,105,40,201,13
2023-12-04 00:00:00+00:00,1096,115,665,55
2023-12-05 00:00:00+00:00,1349,140,684,58
2023-12-06 00:00:00+00:00,419,80,908,39
2023-12-07 00:00:00+00:00,1227,176,731,37
2023-12-08 00:00:00+00:00,151,56,258,30
2023-12-09 00:00:00+00:00,138,52,164,10
2023-12-10 00:00:00+00:00,184,50,132,16
2023-12-11 00:00:00+00:00,1833,219,977,38
2023-12-12 00:00:00+00:00,1066,140,782,32
2023-12-13 00:00:00+00:00,1208,132,625,39
2023-12-14 00:00:00+00:00,918,129,256,36
2023-12-15 00:00:00+00:00,998,108,264,31
2023-12-16 00:00:00+00:00,182,54,30,9
2023-12-17 00:00:00+00:00,91,42,137,14
2023-12-18 00:00:00+00:00,1907,208,638,32
2023-12-19 00:00:00+00:00,2271,242,913,41
2023-12-20 00:00:00+00:00,1571,182,891,45
2023-12-21 00:00:00+00:00,950,140,768,49
2023-12-22 00:00:00+00:00,147,40,413,40
2023-12-23 00:00:00+00:00,115,37,175,23
2023-12-24 00:00:00+00:00,114,29,245,26
2023-12-25 00:00:00+00:00,95,29,241,17
2023-12-26 00:00:00+00:00,123,43,207,23
2023-12-27 00:00:00+00:00,83,44,159,24
2023-12-28 00:00:00+00:00,80,40,191,23
2023-12-29 00:00:00+00:00,82,42,57,24
2023-12-30 00:00:00+00:00,81,41,97,14
2023-12-31 00:00:00+00:00,81,32,49,13
2024-01-01 00:00:00+00:00,100,43,126,17
2024-01-02 00:00:00+00:00,158,57,655,39
2024-01-03 00:00:00+00:00,681,117,742,34
2024-01-04 00:00:00+00:00,746,101,608,42
2024-01-05 00:00:00+00:00,1898,139,661,30
2024-01-06 00:00:00+00:00,163,49,229,8
2024-01-07 00:00:00+00:00,187,54,232,13
2024-01-08 00:00:00+00:00,2122,185,1234,48
2024-01-09 00:00:00+00:00,1369,152,935,50
2024-01-10 00:00:00+00:00,1610,125,945,46
2024-01-11 00:00:00+00:00,847,65,658,47
2024-01-12 00:00:00+00:00,1823,134,1478,50
2024-01-13 00:00:00+00:00,91,18,166,24
2024-01-14 00:00:00+00:00,70,11,168,15
2024-01-15 00:00:00+00:00,2549,155,1375,42
2024-01-16 00:00:00+00:00,1248,77,875,51
2024-01-17 00:00:00+00:00,1956,132,1307,63
2024-01-18 00:00:00+00:00,2141,144,1281,54
2024-01-19 00:00:00+00:00,348,25,454,37
2024-01-20 00:00:00+00:00,209,38,83,17
2024-01-21 00:00:00+00:00,123,26,107,16
2024-01-22 00:00:00+00:00,2047,125,651,37
2024-01-23 00:00:00+00:00,2169,130,862,39
2024-01-24 00:00:00+00:00,2261,133,1088,42
2024-01-25 00:00:00+00:00,1799,138,1084,64
2024-01-26 00:00:00+00:00,585,54,769,48
2024-01-27 00:00:00+00:00,117,16,420,22
2024-01-28 00:00:00+00:00,126,19,538,24
2024-01-29 00:00:00+00:00,1269,85,774,48
2024-01-30 00:00:00+00:00,845,122,557,40
2024-01-31 00:00:00+00:00,2192,136,1482,52
2024-02-01 00:00:00+00:00,2709,150,1048,51
2024-02-02 00:00:00+00:00,2228,125,965,69
2024-02-03 00:00:00+00:00,108,29,123,14
2024-02-04 00:00:00+00:00,51,29,339,18
2024-02-05 00:00:00+00:00,4029,172,1325,45
2024-02-06 00:00:00+00:00,5055,211,1336,48
2024-02-07 00:00:00+00:00,3797,203,1033,51
2024-02-08 00:00:00+00:00,2712,204,1109,70
2024-02-09 00:00:00+00:00,1499,101,806,50
2024-02-10 00:00:00+00:00,126,47,141,25
2024-02-11 00:00:00+00:00,76,20,171,22
2024-02-12 00:00:00+00:00,2927,187,1305,46
2024-02-13 00:00:00+00:00,1930,120,1180,52
2024-02-14 00:00:00+00:00,1051,104,870,54
2024-02-15 00:00:00+00:00,1724,116,969,48
2024-02-16 00:00:00+00:00,249,94,239,30
2024-02-17 00:00:00+00:00,358,96,367,30
2024-02-18 00:00:00+00:00,238,53,315,26
2024-02-19 00:00:00+00:00,1475,129,1293,47
2024-02-20 00:00:00+00:00,3086,218,1441,47
2024-02-21 00:00:00+00:00,1869,163,852,59
2024-02-22 00:00:00+00:00,768,79,748,72
2024-02-23 00:00:00+00:00,3100,155,1049,49
2024-02-24 00:00:00+00:00,128,36,112,34
2024-02-25 00:00:00+00:00,207,14,182,29
2024-02-26 00:00:00+00:00,1530,116,1235,49
2024-02-27 00:00:00+00:00,1105,82,645,51
2024-02-28 00:00:00+00:00,1984,156,894,48
2024-02-29 00:00:00+00:00,2582,193,859,45
2024-03-01 00:00:00+00:00,2089,147,707,55
2024-03-02 00:00:00+00:00,45,15,223,24
2024-03-03 00:00:00+00:00,511,69,170,27
2024-03-04 00:00:00+00:00,2735,240,834,44
2024-03-05 00:00:00+00:00,1662,185,710,60
2024-03-06 00:00:00+00:00,1163,122,430,50
2024-03-07 00:00:00+00:00,1412,122,738,59
2024-03-08 00:00:00+00:00,236,46,440,42
2024-03-09 00:00:00+00:00,31,12,271,28
2024-03-10 00:00:00+00:00,64,13,280,26
2024-03-11 00:00:00+00:00,3981,236,1356,45
2024-03-12 00:00:00+00:00,1980,162,1084,54
2024-03-13 00:00:00+00:00,1853,169,1215,59
2024-03-14 00:00:00+00:00,2148,168,914,63
2024-03-15 00:00:00+00:00,1896,145,636,38
2024-03-16 00:00:00+00:00,225,60,80,13
2024-03-17 00:00:00+00:00,171,55,122,17
2024-03-18 00:00:00+00:00,2609,179,599,43
2024-03-19 00:00:00+00:00,4290,251,982,66
2024-03-20 00:00:00+00:00,3612,254,682,68
2024-03-21 00:00:00+00:00,5021,265,984,49
2024-03-22 00:00:00+00:00,307,73,161,42
2024-03-23 00:00:00+00:00,67,36,88,30
2024-03-24 00:00:00+00:00,72,21,331,30
2024-03-25 00:00:00+00:00,1872,146,428,57
2024-03-26 00:00:00+00:00,2258,202,639,48
2024-03-27 00:00:00+00:00,2001,160,632,48
2024-03-28 00:00:00+00:00,645,103,326,41
2024-03-29 00:00:00+00:00,1269,131,324,33
2024-03-30 00:00:00+00:00,180,52,56,12
2024-03-31 00:00:00+00:00,170,54,132,24
2024-04-01 00:00:00+00:00,170,53,142,40
2024-04-02 00:00:00+00:00,2470,206,580,49
2024-04-03 00:00:00+00:00,850,100,606,62
2024-04-04 00:00:00+00:00,992,100,509,39
2024-04-05 00:00:00+00:00,1074,103,284,37
2024-04-06 00:00:00+00:00,234,32,73,16
2024-04-07 00:00:00+00:00,135,19,42,18
2024-04-08 00:00:00+00:00,363,29,294,33
2024-04-09 00:00:00+00:00,1445,100,265,29
2024-04-10 00:00:00+00:00,1009,73,427,43
2024-04-11 00:00:00+00:00,62,14,212,36
2024-04-12 00:00:00+00:00,100,15,87,34
2024-04-13 00:00:00+00:00,68,18,109,12
2024-04-14 00:00:00+00:00,153,20,68,18
2024-04-15 00:00:00+00:00,1544,151,595,35
